diary_date,Title,Content
1592-02-04 (금),(을미),"맑다.
    동헌에 나가 공무를 본 뒤에 북쪽 봉우리의 연대(신호대)쌓는 곳에 오르니, 쌓은곳이 매우좋아 무너질 염려가 없으매 이봉수(李鳳壽)의 애썼음을 알겠다.
    종일 구경하다가 저녁에야 내려와 해자 구덩이를 순시했다."
1592-02-05 (토),(병신),"맑다.
    동헌에 나가 공무를 본 뒤 활 열여덟순을 쏘았다."
1592-02-06 (일),(정유),"종일 바람이 세게불었다.
    동헌에 나가 공무를 봤다.
    순찰사에게서 편지가 두번이나 왔다."
1592-02-07 (월),(무술),"맑다가 바람이 세게 불었다.
    동헌에 나가 공무를 봤다.
    발포만호가 부임했다는 공문이 왔다."
1592-02-08 (화),(기해),"맑다가 또 바람이 세게 불었다.
    동헌에 나가 공무를 봤다.
    이날 거북함에 쓸 돛베 스무아홉필을 받았다.
    정오에 활을 쏘는데, 조이립(趙而立)과 변존서(卞存緖)가 자웅을 다투다가 조이립이 이기지 못했다.
    우후가 방답에서 돌아와 방답첨사가 방비에 온 정성을 다하더라고 매우 칭찬했다.
    동헌 뜰에 돌기둥 화대를 세웠다."
1592-02-09 (수),(경자),"맑다.
    새벽에 쇠사슬을 꿸 긴 나무를 베는 일로 이원룡(李元龍)에게 군사를 거느리게 하여 두산도(돌산도)로 보냈다."
1592-02-10 (목),(신축),"안개비, 개었다가 흐렸다가 했다.
    동헌에 나가 공무를 봤다.
    김인문(金仁問)이 순찰사영에서 돌아왔다. 순찰사의 편지를 보니, 통역관들이 뇌물을 많이 받고 중원(명나라)에 무고하여 군사를 청하기까지 했을 뿐아니라 중원에서 우리나라와 일본 사이에 무슨 딴뜻이 있는가 의심하게까지 했으니, 그 흉칙함을 무엇이라 말할 수 없다. 통역관들이 이미 잡혔다고는 하지만, 해괴하고 분통함을 참을 수 없다."
1592-02-11 (금),(임인),"맑다.
    식사를 한 뒤에 나가 배 위에서 새로 뽑은 군사들을 점검했다."
1592-02-12 (토),(계묘),"맑고 바람도 자다.
    식사를 한 뒤에 동헌에 나가 공무를 보고서 해운대(여수시 동북쪽에 있는 작은 섬)로 자리를 옮겨 활을 쏘았다.
    침렵치(沈獵雉)라는 운자(韻字)를 띄워 봤더니 너무 조용했다.
    나중에 군관들도 모두 일어나 춤을 추고 조이립(趙而立)이 시를 읊었다. 저녁이 되어서야 돌아왔다."
1592-02-13 (일),(갑진),"맑다.
    전라우수사(李億祺)의 군관이 왔기로 화살대 큰것, 중치 백개와 쇠 쉰근을 보냈다."
1592-02-14 (월),(을사),"맑다.
    아산 어머니께 문안차 나장(고을이나 병마사, 수사의 영문에 있는 使令) 두명을 내어 보냈다."
1592-02-15 (화),(병오),"비바람이 매우 세다.
    동헌에 나가 공무를 봤다.
    새로 쌓은 해자 구덩이가 많이 무너져 석수(石手)들에게 벌을 주고 다시 쌓게 했다."
1592-02-16 (수),(정미),"맑다.
    동헌에 나가 공무를 본 뒤 활 여섯순을 쏘았다.
    신구번의 군사를 점검했다."
1592-02-17 (목),(무신),"맑다.
    나라제삿날(世宗의 祭祀)임에도 공무를 보았다."
1592-02-18 (금),(기유),흐렸다.
1592-02-19 (토),(경술),"맑다.
    순찰하러 떠나 백야곶(여천군 화양면 백야도)의 감독관이 있는 곳에 이르니, 승평부사 권준(權俊)이 그 아우를 데리고 와서 기다렸다. 기생도 왔다.
    비가 온 뒤라 산의 꽃이 활짝 피어 경치가 멋져 형언키 어렵다.
    저물어서야 이목구미(여천군 화양면 이목리)에 이르러 배를 타고 여도(고흥군 점암면 여호리)에 이르니 영주(고흥)현감(裵興立)과 여도 권관(黃玉千)이 마중했다.
    방비를 검열하는데 흥양현감은 내일 제사가 있다고 먼저 갔다."
1592-02-20 (일),(신해),"맑다.
    아침에 모든 방비와 전선을 점검해 보니, 모두 새로 만들었고 무기도 웬간히 완비되었다.
    늦게야 떠나서 영주(고흥)에 이르니 좌우의 산의 꽃과 들가의 봄풀이 한폭의 그림 같다. 옛날에 영주가 있다더니 역시 이와 같은 경치였던가!"
1592-02-21 (월),(임자),"맑다.
    공무를 본 뒤에 주인(감영과 고을의 연락을 취하는 營邸吏)이 자리를 베풀어 활을 쏘았다.
    조방장 정걸(丁傑)도 와서 보고 능성현감 황숙도(黃叔度)도 와서 함께 술취했다. 배수립(裵秀立)도 나와 함께 술잔을 나누며 즐기다가 밤이 깊어서야 헤어졌다.
    신홍헌(申弘憲)으로 하여금 술을 걸러 지난날에 심부름하던 삼반하인(軍奴, 使令, 及唱 등)들에게 나누어 먹이도록 했다."
1592-02-22 (화),(계축),"아침에 공무를 본 뒤에 녹도로 갔다. 황숙도(黃叔度)도 같이 갔다.
    먼저 흥양 전선소에 이르러 배와 집기류을 몸소 점검했다.
    그 길로 녹도로 가서 곧장 봉우리 위에 새로 쌓은 문다락으로 올라가 보니, 경치의 아름다움이 이 근방에서는 으뜸이다. 만호의 애쓴 흔적이 손닿지 않은 곳이 없다.
    흥양현감(裵興立)과 능성현감 황숙도(黃叔度) 및 만호와 함께 취하도록 마시고 겸하여 대포 쏘는 것도 봤다. 촛불을 밝혀 이슥해서야 헤어졌다."
1592-02-23 (수),(갑인),"흐렸다.
    늦게야 배를 타고 발포로 가는데, 맞바람(逆風)이 세게 불어 배가 갈수가 없다. 간신히 성머리에까지 이르러 배에서 내려 말을 탔다.
    비가 몹시 쏟아져 일행 모두가 꽃비에 흠뻑 젖은 채로 발포로 들어가니, 해는 벌써 저물었다."
1592-02-24 (목),(을묘),"가랑비가 온 산에 내려 지척을 헤아리지 못하겠다.
    비를 무릅쓰고 길을 떠나 마북산(고흥군 포두면 마복산) 아래의 사량에 이르러 배를 타고 노질을 재촉하여 사도(고흥군 점암면 금사리)에 이르니, 흥양현감이 먼저 와 있다.
    전선을 점검하고 나니, 날이 저물므로 그대로 눌러 잤다."
1592-02-25 (금),(병진),"흐렸다.
    여러가지 전쟁 방비에 탈난 곳이 많다. 군관과 색리들에게 벌을 줬다. 첨사를 잡아들이고 교수(고을 수령 아랫 벼슬아치)를 내어 보냈다.
    이곳의 방비가 다섯포구 가운데 최하인데도 순찰사가 포상하라고 장계를 올렸기 때문에 죄상을 조사조차 하지 못했으니 우습다.
    맞바람이 세게 불어 출항할 수가 없어서 그대로 잤다."
1592-02-26 (토),(정사),"아침 일찍 출항하여 개이도(여천군 화정면 개도)에 이르니, 여도진의 배와 방답진의 마중하는 배가 나와서 기다렸다.
    날이 저물어서야 방답에 이르러 공사례를 마치고서 무기를 점검했다.
    장전과 편전은 하나도 쓸만한 것이 없어 고민이다. 전선은 좀 온전한 편이니 기쁘다."
1592-02-27 (일),(무오),"흐렸다.
    아침에 점검을 마친 뒤에 북쪽 봉우리에 올라가 지형을 살펴보니, 깎아지른 외딴 섬인지라 사면에서 적의 공격을 받을 수 있고, 성과 해자 또한 매우 엉성하니 무척 근심이 된다.
    첨사가 애쓰기는 했으나, 미쳐 시설을 못했으니 어찌하랴.
    저녁나절에야 배를 타고 경도(여수시 경호동 대경호도)에 이르니, 여필(汝弼)과 조이립(趙而立)이 군관, 우후들이 술을 싣고 마중나왔다. 이들과 함께 마시고 즐기다 해가 넘어간 뒤에야 관청으로 돌아왔다."
1592-02-28 (월),(기미),"흐렸으나 비는 오지 않았다.
    동헌에 나가 공무를 본 뒤에 활을 쏘았다."
1592-02-29 (화),(경신),"맑으나 바람이 세게 불었다.
    동헌에 나가 공무를 봤다.
    순찰사의 공문이 왔는데, 중위장을 순천부사로 고쳐 임명했다고 하니 한심하다."
1592-03-01 (수),(신유),"망궐례를 했다.
    식사를 한 뒤에 별방군과 정규군 하번군을 점검 하고서 놓아 보냈다. 공무를 마친 뒤에 활 열순을 쏘았다."
1592-03-02 (목),(임술),"흐리고 바람이 불었다.
    나라제삿날(中宗 章敬王后 尹氏 祭祀)임에도 공무를 보았다.
    승군(僧軍) 일백 명이 돌을 주웠다."
1592-03-03 (금),(계해),"비가 저녁내 오다.
    오늘은 삼짇날 명절이건만 비가 이렇게 내리니 답청도 못하겠다.
    조이립(趙而立) 우후, 군관 등과 동헌에서 이야기하며 술을 마셨다."
1592-03-04 (토),(갑자),"맑다.
    아침에 조이립(趙而立)을 배웅하고 객사 대청에 나가 공무를 본 뒤에 서문밖 해자와 성을 더 쌓는 곳을 순시했다.
    승군들이 돌줍 는 것을 성실히 하지 않으므로 책임자(首僧)를 잡아다가 곤장을 쳤다.
    아산에 문안갔던 나장이 돌아왔다. 어머니께서 편안하시다 하니 다행이다."
1592-03-05 (일),(을축),"맑다.
    동헌에 나가 공무를 봤다. 군관들은 활을 쏘았다.
    저물녁에 서울 갔던 진무가 돌아왔다. 좌의정 류성룡(柳成龍)의 편지와 ""증손전 수방략(增損戰守方略)""이라는 책을 가지고 왔다. 이 책을 보니 수전, 육전, 화공전 등 모든 싸움의 전술을 낱낱이 설명했는데, 참으로 만고의 훌륭한 책이다."
1592-03-06 (월),(병인),"맑다.
    아침밥을 먹고난 뒤 출근하여 군기물을 점검했는데, 활, 갑옷, 투구, 전통, 환도 등이 깨지고 헐어진 것이 많아 색리, 궁장, 감고 등을 문책했다."
1592-03-07 (화),(정묘),"맑다.
    동헌에 나가 공무를 보고 난 뒤에 활을 쏘았다."
1592-03-08 (수),(무진),종일 비가 내렸다.
1592-03-09 (목),(기사),"종일 비가 내렸다.
    동헌에 나가 공무를 봤다."
1592-03-10 (금),(경오),"맑으나 바람이 불었다.
    동헌에 나가 공무를 보고 난 뒤에 활을 쏘았다."
1592-03-11 (토),(신미),맑다.
1592-03-12 (일),(임신),"맑다.
    식사한 뒤에 배있는 곳으로 나가 경강(여수시 봉산동)의 배를 점검했다.
    다시 배를 타고 소포(여수시 종화동 종포)로 나가는데 때 마침 샛바람이 세게 불고 격군(보조사공)도 없어 도로 돌아왔다.
    곧바로 동헌에 나가 공무를 본 뒤에 활 열순을 쏘았다."
1592-03-13 (월),(계유),"아침에 흐렸다.
    순찰사에게서 편지가 왔다."
1592-03-14 (화),(갑술),"종일 많은 비가 내렸다.
    이른 아침에 순찰사(李洸)를 만나러 순천으로 가는데, 비가 몹시 퍼부어서 길 앞을 분간할 수가 없었다.
    간신히 선생원에 이르러 말에게 꼴을 먹이고서 다시 해농창평(순천시 해룡면)에 이르니, 길 바닥에 물이 석 자나 괴었다. 겨우 겨우 순천부에 이르렀다.
    저녁에 순찰사와 격조를 터 놓고 이야기했다."
1592-03-15 (수),(을해),"흐리며 가랑비 오다가 저녁나절에 개었다.
    다락 위에 앉아서 활쏘고, 군관들에게는 편을 갈라 활을 쏘게 했다."
1592-03-16 (목),(병자),"맑다.
    순천부사가 환선정에 술자리를 베풀었다. 겸하여 활도 쏘았다."
1592-03-17 (금),(정축),"맑다.
    새벽에 순찰사에게 작별을 고하고 선생원에 이르러 말에게 꼴을 먹인 뒤에 본영으로 돌아왔다."
1592-03-18 (토),(무인),"맑다.
    동헌에 나가 공무를 봤다."
1592-03-19 (일),(기묘),"맑다.
    동헌에 나가 공무를 봤다."
1592-03-20 (월),(경진),"비가 몹시 쏟아지다.
    저녁나절에 동헌에 나가 공무를 보고 각 관방의 회계를 밝혔다.
    순천 관내를 수색하는 일이 제 날짜에 미치지 못했기 때문에 대장, 색리, 도훈도 등을 문책했다.
    사도첨사(김완)에게도 만날 일로 공문을 보냈는데, 혼자서 수색했다고 했다. 또 한나절 동안에 내나로도, 외나로도(고흥군 봉래면)와 대평두, 소평두 섬을 다 수색하고 그 날로 돌아왔다고 하니, 이 일은 너무도 엉터리 거짓이다. 이를 바로 잡으려는 일로 흥양과 사도첨사에게 공문을 보냈다.
    몸이 몹시 불편하여 일찍 들어왔다."
1592-03-21 (화),(신사),"맑다.
    몸이 불편하여 아침내 누워 앓다가 저녁나절에 동헌에 나가 공무를 봤다."
1592-03-22 (수),(임오),"맑다.
    성 북쪽 봉우리 아래에 도랑을 파내는 일로 우후 및 군관 열명을 나누어 보냈다.
    식사한 뒤에 동헌에 나가 공무를 봤다."
1592-03-23 (목),(계미),"아침에 흐리고 저녁나절에는 맑다.
    아침밥을 먹은 뒤에 동헌에 나가 공무를 봤다.
    보성에서 올 널빤 지가 아직 안들여 왔기 때문에 색리에게 다시 공문을 보내어 독촉했다.
    순천에서 심부름꾼을 보내 온 소국진(蘇國進)에게 곤장 여든대를 쳤다.
    순찰사가 편지를 보내었는데 보니, ""발포권관은 군사를 거느릴 만한 재목이 못 되기로 갈아 치워야 하겠다""고 하므로 아직 갈지 말고 그대로 유임하여 방비에 종사하게 해달라고 답장을 보냈다."
1592-03-24 (금),(갑신),"나라제삿날(世宗 昭憲王后 沈氏 祭日)임에도 공무를 보았다.
    우후가 수색하고 탈없이 돌아왔다. 순찰사와 도사(都事)의 답장을 송희립(宋希立)이 아울러 가져왔다.
    순찰사의 편지 가운데, ""영남 관찰사(김수)의 편지에 `대마도주(종의지)가 공문을 보냈는데, 벌써 대마도 배 한척을 귀국(조선)에 보냈는데, 만일 도착하지 않았다면 풍랑에 깨졌을 것이라'고 했더라는 것이다. 그 말이 매우 음흉하다. 동래에서 서로 바라다 보이는 바다인데 그럴리가 만무하며, 말을 이렇게 거짓으로 꾸며대니, 그 간사함을 헤아리기 어렵다""고 하였다."
1592-03-25 (토),(을유),"맑으나 바람이 세게 불었다.
    동헌에 나가 공무를 본 뒤에 활 열순을 쏘았다.
    경상병마사가 평산포에 도착하지 않고 곧장 남해로 간다고 하였다. 나는 그를 만나지 못한것을 한스럽다는 뜻으로 답장을 보냈다.
    새로 쌓은 성을 순시해 보니, 남쪽이 아홉 발이나 무너져 있었다."
1592-03-26 (일),(병술),"맑다.
    우후와 송희립(宋希立)이 남해로 갔다.
    저녁나절에 동헌에 나가 공무를 본 뒤에 활 열다섯순을 쏘았다."
1592-03-27 (월),(정해),"맑고 바람조차 없다.
    일찍 아침밥을 먹은뒤 배를 타고 소포(여수시 종화동 종포)에 이르러 쇠사슬을 가로질러 건너 매는 것을 감독하고, 종일 나무기둥 세우는 것을 바라 보았다.
    겸하여 거북함에서 대포 쏘는 것도 시험했다."
1592-03-28 (화),(무자),"맑다.
    동헌에 나가 공무를 봤다.
    활 열순을 쏘았는데, 다섯순은 모조리 다맞고, 두순은 네번 맞고, 세순은 세번 맞았다."
1592-03-29 (수),(기축),"맑다.
    나라제삿날(世祖 貞憙王后 尹氏 祭日)임에도 공무를 보았다.
    아산 고향으로 문안 보냈던 나장이 돌아왔다. 어머니께서 편안하시다니 참으로 다행이다."
1592-04-01 (목),(경인),"흐렸다.
    새벽에 망궐례를 했다. 공무를 본 뒤에 활 열다섯순을 쏘았다. 별조방을 점검했다."
1592-04-02 (금),(신묘),"맑다.
    식사를 하고 나니 몸이 몹시 불편하더니 점점 더 아파 온 종일 밤새도록 신음했다."
1592-04-03 (토),(임진),"맑다.
    기운이 어지럽고 밤새도록 고통스러웠다."
1592-04-04 (일),(계사),"맑다.
    아침에야 비로소 겨우 통증이 가라앉았다."
1592-04-05 (월),(갑오),"맑다가 저녁나절에 비가 조금 내렸다.
    동헌에 나가 공무를 봤다."
1592-04-06 (화),(을미),"맑다.
    진해루로 나가 공무를 본 뒤에 군관을 시켜 활을 쏘게 했다.
    아우 여필(汝弼)을 배웅했다."
1592-04-07 (수),(병신),"나라제삿날(中宗 文定王后 尹氏 祭日)임에도 공무를 보았다.
    낮 열시경에 비변사에서 비밀공문이 왔는데, 영남관찰사와 우병마사의 장계에 의한 것이었다."
1592-04-08 (목),(정유),"흐리되 비는 오지 않았다.
    아침에 어머니께 보낼 물건을 쌌다. 저녁나절에 여필(汝弼)이 떠나갔다.
    객창에 홀로 앉았으니 만단의 회포가 어리어 온다."
1592-04-09 (금),(무술),"아침에 흐리더니 저녁나절에야 맑다.
    동헌에 나가 공무를 봤다.
    방응원(方應元)이 방비처에 갈 공문에 관인을 찍어서 보냈다.
    군관들이 활을 쏘았다.
    광양현감(어영담)이 수색에 대한 일로 배를 타고 왔다가 저물어서 돌아갔다."
1592-04-10 (토),(기해),"맑다.
    식사를 한 뒤에 동헌에 나가 공무를 봤다. 활 열순을 쏘았다."
1592-04-11 (일),(경자),"아침에 흐리더니 저녁나절에 맑았다.
    공무를 본 뒤에 활을 쏘았다.
    순찰사(이광)의 편지와 별록을 순찰사의 군관(남한)이 가져 왔다.
    비로소 베로 돛을 만들었다."
1592-04-12 (월),(신축),"맑다.
    식사를 한 뒤에 배를 타고 거북함의 지자, 현자포를 쏘았다. 순찰사의 군관 남한이 살펴 보고 갔다.
    정오에 동헌으로 나가 활 열순을 쏘았다.
    관청으로 올라 갈 때 노대석을 보았다."
1592-04-13 (화),(임인),"맑다.
    동헌에 나가 공무를 본 뒤에 활 열다섯순을 쏘았다."
1592-04-14 (수),(계묘),"맑다.
    동헌에 나가 공무를 본 뒤에 활 열순을 쏘았다."
1592-04-15 (목),(갑진),"맑다.
    나라제삿날(成宗 恭惠王后 韓氏 祭日)임에도 공무를 보았다.
    순찰사에게 보내는 답장과 별록을 써서 역졸을 시켜 달려 보냈다.
    해질 무렵에 영남우수사(원균)의 통첩에, ""왜선 아흔여척이 와서 부산 앞 절영도(영도)에 정박했다.""고 한다.
    이와 동시에 또 수사(경상좌수사 박홍)의 공문이 왔다. ""왜적 350여척이 이미 부산포 건너편에 이미 도착했다.""고 한다.
    그래서 즉시 장계를 올리고 겸하여 순찰사(이광), 병마사(최원), 우수사(이억기)에게도 공문을 보냈다.
    영남관찰사(김수)의 공문도 왔는데, 역시 같은 내용이다."
1592-04-16 (금),(을사),"밤 열시쯤에 영남우수사(원균)의 공문이 왔다.
    ""부산진이 이미 함락되었다""고 한다. 분하고 원통함을 이길 수가 없다.
    즉시로 장계를 올리고, 또 삼도에 공문을 보냈다."
1592-04-17 (토),(병오),"흐리고 비오더니 저녁나절에 맑았다.
    영남우병마사(김성일)에게서 공문이 왔다.
    ""왜적이 부산을 함락시킨 뒤에 그대로 머물면서 물러가지 않는다""고 한다.
    저녁나절에 활 다섯순을 쏘았다.
    번을 그대로 서는 수군(仍番=上番)과 번을 새로 드는 수군(奔番=下番)이 잇달아 방비처로 왔다."
1592-04-18 (일),(정미),"아침에 흐렸다.
    이른 아침에 동헌에 나가 공무를 봤다.
    순찰사(이광)의 공문이 왔다.
    ""발포권관은 이미 파직되었으니, 대리(假將)를 정하여 보내라"" 고 하였다. 그래서 군관 나대용(羅大用)을 이날로 바로 정하여 보냈다.
    낮 두시쯤에 영남우수사의 공문이 왔다.
    ""동래도 함락되고, 양산(조영규), 울산(이언함) 두 군수도 조방장으로서 성으로 들어갔다가 모두 패했다""고 한다. 이건 정말로 통분하여 말을 할 수가 없다.
    병마사(이각)와 수사(박홍)들이 군사를 이끌고 동래 뒷쪽까지 이르렀다가 그만 즉시 회군했다고 하니 더욱 가슴 아프다.
    저녁에 순천의 군사를 거느리고 온 병방이 석보창(여천군 쌍봉면 봉계리 석창)에 머물러 있으면서 군사들을 거느리고 오지 않았다. 그래서 잡아 가두었다."
1592-04-19 (월),(무신),"맑다.
    아침에 품방에 해자 파는 일로 군관을 정해 보내고, 일찌기 아침밥을 먹은 뒤에 동문위로 나가 품방 역사를 몸소 독려했다. 오후에 상격대를 순시했다.
    이날 분부군(입대하러 온 군사) 700명을 만나 보고 역사하는 일은 점검했다."
1592-04-20 (화),(기유),"맑다.
    동헌에 나가 공무를 봤다.
    영남관찰사(김수)의 공문이 왔다.
    ""많은 적들이 휘몰아 쳐들어 오니 이를 막아낼 수가 없고 승리한 기세가 마치 무인지경을 드는 것과 같다""고 하면서 내게 전선을 정비하여 와서 후원해 주기를 바란다고 조정에 장계하였다""고 하였다."
1592-04-21 (수),(경술),"맑다.
    성 위에 군사를 줄지어 서도록 과녁터에 앉아서 명령을 내렸다. 오후에 순천부사(권준)가 달려 와서 약속을 듣고 갔다."
1592-04-22 (목),(신해),"새벽에 정찰도 하고 부정사실도 조사할 일로 군관을 내어 보냈다.
    배응록(裵應祿)은 절갑도(고흥군 금산면 거금도)로 가고, 송일성(宋日成)은 금오도(여천군 남면 금오도)로 갔다.
    또 이경복(李 景福), 송한련(宋漢連), 김인문(金仁問) 등으로 하여금 두산도(여천군 돌산도)의 적대목(敵臺木)을 실어 내리는 일로 각각 군인 쉰 명씩을 데리고 가게 하고 나머지 군인들은 품방에서 역사를 시켰다."
